d,n1,Pb
112.0,150.0,160.0
118.0,150.0,170.0
132.0,150.0,180.0
140.0,150.0,190.0
112.0,200.0,212.0
118.0,200.0,224.0
132.0,200.0,236.0
140.0,200.0,250.0
112.0,265.0,280.0
118.0,265.0,100.0
132.0,265.0,0.4
140.0,265.0,0.44
112.0,0.55,0.61
118.0,0.55,0.69
132.0,0.55,0.76
140.0,0.55,0.84
112.0,0.91,0.99
118.0,0.91,1.06
132.0,0.91,1.15
140.0,0.91,1.24
112.0,1.32,1.42
118.0,1.32,1.53
132.0,1.32,1.64
140.0,1.32,200.0
112.0,0.7,0.78
118.0,0.7,0.99
132.0,0.7,1.1
140.0,0.7,1.24
112.0,1.38,1.52
118.0,1.38,1.66
132.0,1.38,1.8
140.0,1.38,1.94
112.0,2.11,2.27
118.0,2.11,2.43
132.0,2.11,2.62
140.0,2.11,2.82
112.0,3.02,300.0
118.0,3.02,0.96
132.0,3.02,1.08
140.0,3.02,1.37
112.0,1.54,1.74
118.0,1.54,1.95
132.0,1.54,2.15
140.0,1.54,2.35
112.0,2.55,2.75
118.0,2.55,2.99
132.0,2.55,3.22
140.0,2.55,3.46
112.0,3.73,4.02
118.0,3.73,4.31
132.0,3.73,400.0
140.0,3.73,1.19
112.0,1.35,1.73
118.0,1.35,1.95
132.0,1.35,2.21
140.0,1.35,2.48
112.0,2.74,3.0
118.0,2.74,3.26
132.0,2.74,3.51
140.0,2.74,3.82
112.0,4.12,4.43
118.0,4.12,4.78
132.0,4.12,5.15
140.0,4.12,5.52
112.0,500.0,1.41
118.0,500.0,1.61
132.0,500.0,2.07
140.0,500.0,2.33
112.0,2.65,2.97
118.0,2.65,3.29
132.0,2.65,3.61
140.0,2.65,3.93
112.0,4.24,4.61
118.0,4.24,4.98
132.0,4.24,5.35
140.0,4.24,5.77
112.0,6.22,6.67
118.0,6.22,600.0
132.0,6.22,1.61
140.0,6.22,1.84
112.0,2.38,2.69
118.0,2.38,3.07
132.0,2.38,3.45
140.0,2.38,3.82
112.0,4.2,4.56
118.0,4.2,4.93
132.0,4.2,5.37
140.0,4.2,5.8
112.0,6.23,6.72
118.0,6.23,7.25
132.0,6.23,7.77
140.0,6.23,700.0
112.0,1.79,2.06
118.0,1.79,2.68
132.0,1.79,3.03
140.0,1.79,3.47
112.0,3.9,4.33
118.0,3.9,4.75
132.0,3.9,5.18
140.0,3.9,5.59
112.0,6.09,6.58
118.0,6.09,7.07
132.0,6.09,7.63
140.0,6.09,8.23
112.0,8.82,800.0
118.0,8.82,1.97
132.0,8.82,2.27
140.0,8.82,2.97
112.0,3.36,3.85
118.0,3.36,4.34
132.0,3.36,4.82
140.0,3.36,5.29
112.0,5.76,6.23
118.0,5.76,6.78
132.0,5.76,7.33
140.0,5.76,7.88
112.0,8.5,9.16
118.0,8.5,9.82
132.0,8.5,900.0
140.0,8.5,2.13
112.0,2.47,3.24
118.0,2.47,3.68
132.0,2.47,4.22
140.0,2.47,4.75
112.0,5.28,5.81
118.0,5.28,6.33
132.0,5.28,6.84
140.0,5.28,7.45
112.0,8.05,8.65
118.0,8.05,9.33
132.0,8.05,10.05
140.0,8.05,10.76
112.0,1000.0,2.28
118.0,1000.0,2.65
132.0,1000.0,3.5
140.0,1000.0,3.98
112.0,4.57,5.15
118.0,4.57,5.73
132.0,4.57,6.3
140.0,4.57,6.86
112.0,7.42,8.08
118.0,7.42,8.74
132.0,7.42,9.38
140.0,7.42,10.12
112.0,10.89,11.66
118.0,10.89,1200.0
132.0,10.89,2.56
140.0,10.89,2.99
112.0,3.98,4.53
118.0,3.98,5.22
132.0,3.98,5.9
140.0,3.98,6.57
112.0,7.22,7.87
118.0,7.22,8.51
132.0,7.22,9.27
140.0,7.22,10.01
112.0,10.74,11.57
118.0,10.74,12.44
132.0,10.74,13.29
140.0,10.74,1400.0
112.0,2.81,3.29
118.0,2.81,4.41
132.0,2.81,5.04
140.0,2.81,5.82
112.0,6.58,7.33
118.0,6.58,8.06
132.0,6.58,8.79
140.0,6.58,9.5
112.0,10.33,11.15
118.0,10.33,11.95
132.0,10.33,12.85
140.0,10.33,13.78
112.0,14.69,1600.0
118.0,14.69,3.02
132.0,14.69,3.56
140.0,14.69,4.8
112.0,5.5,6.36
118.0,5.5,7.19
132.0,5.5,8.02
140.0,5.5,8.82
112.0,9.61,10.38
118.0,9.61,11.28
132.0,9.61,12.15
140.0,9.61,12.99
112.0,13.94,14.92
118.0,13.94,15.84
132.0,13.94,1800.0
140.0,13.94,3.2
112.0,3.79,5.15
118.0,3.79,5.91
132.0,3.79,6.84
140.0,3.79,7.74
112.0,8.63,9.49
118.0,8.63,10.33
132.0,8.63,11.14
140.0,8.63,12.09
112.0,13.0,13.87
118.0,13.0,14.84
132.0,13.0,15.81
140.0,13.0,16.73
112.0,2000.0,3.34
118.0,2000.0,3.99
132.0,2000.0,5.45
140.0,2000.0,6.26
112.0,7.26,8.22
118.0,7.26,9.16
132.0,7.26,10.06
140.0,7.26,10.94
112.0,11.78,12.76
118.0,11.78,13.68
132.0,11.78,14.56
140.0,11.78,15.52
112.0,16.46,17.32
118.0,16.46,2400.0
132.0,16.46,3.54
140.0,16.46,4.27
112.0,5.91,6.81
118.0,5.91,7.9
132.0,5.91,8.95
140.0,5.91,9.96
112.0,10.91,11.82
118.0,10.91,12.68
132.0,10.91,13.64
140.0,10.91,14.53
112.0,15.33,16.17
118.0,15.33,16.92
132.0,15.33,2800.0
140.0,15.33,3.6
112.0,4.39,6.17
118.0,4.39,7.14
132.0,4.39,8.28
140.0,4.39,9.37
112.0,10.38,11.33
118.0,10.38,12.21
132.0,10.38,13.0
140.0,10.38,13.86
112.0,14.59,15.2
118.0,14.59,3200.0
132.0,14.59,3.52
140.0,14.59,4.36
112.0,6.22,7.21
118.0,6.22,8.37
132.0,6.22,9.43
140.0,6.22,10.4
112.0,11.27,12.03
118.0,11.27,12.68
132.0,11.27,3500.0
140.0,11.27,3.36
112.0,4.23,6.11
118.0,4.23,7.09
132.0,4.23,8.22
140.0,4.23,9.23
112.0,10.12,10.87
118.0,10.12,11.5
132.0,10.12,4000.0
140.0,10.12,2.9
112.0,3.77,5.61
118.0,3.77,6.53
132.0,3.77,7.54
140.0,3.77,8.37
112.0,4600.0,1.98
118.0,4600.0,2.81
132.0,4600.0,4.46
140.0,4600.0,5.21
112.0,1.0,1.01
118.0,1.0,1.02
132.0,1.0,1.03
140.0,1.0,1.04
112.0,1.06,1.07
118.0,1.06,1.08
132.0,1.06,1.09
140.0,1.06,1.12
112.0,1.13,1.16
118.0,1.13,1.17
132.0,1.13,1.22
140.0,1.13,1.23
112.0,1.32,1.33
118.0,1.32,1.5
132.0,1.32,1.51
140.0,1.32,100.0
112.0,0.0,0.0
118.0,0.0,0.01
132.0,0.0,0.01
140.0,0.0,0.02
112.0,0.02,0.03
118.0,0.02,0.03
132.0,0.02,0.04
140.0,0.02,0.04
112.0,200.0,0.0
118.0,200.0,0.01
132.0,200.0,0.02
140.0,200.0,0.03
112.0,0.04,0.04
118.0,0.04,0.05
132.0,0.04,0.06
140.0,0.04,0.07
112.0,0.08,300.0
118.0,0.08,0.0
132.0,0.08,0.01
