"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,,,,,,,
RPM / Ø,71,80,85,90,95,100,106,112,125,132,140,150,160,170,180,190,200,212
100,"0,15","0,19","0,22","0,24","0,27","0,29","0,32","0,35","0,42","0,45","0,49","0,54","0,58","0,63","0,68","0,73","0,77","0,83"
200,"0,25","0,34","0,39","0,43","0,48","0,53","0,58","0,64","0,76","0,82","0,90","0,99","1,08","1,16","1,25","1,34","1,43","1,53"
300,"0,34","0,47","0,54","0,61","0,67","0,74","0,82","0,90","1,07","1,17","1,27","1,40","1,53","1,66","1,79","1,91","2,04","2,19"
400,"0,42","0,59","0,68","0,76","0,85","0,94","1,04","1,15","1,37","1,49","1,63","1,79","1,96","2,13","2,29","2,46","2,62","2,81"
500,"0,50","0,70","0,80","0,91","1,02","1,13","1,25","1,38","1,65","1,80","1,96","2,17","2,37","2,58","2,78","2,98","3,17","3,41"
600,"0,56","0,80","0,93","1,05","1,18","1,31","1,46","1,60","1,93","2,10","2,29","2,53","2,77","3,01","3,24","3,48","3,71","3,98"
700,"0,63","0,89","1,04","1,19","1,33","1,48","1,65","1,82","2,19","2,38","2,60","2,88","3,15","3,42","3,69","3,96","4,22","4,54"
800,"0,68","0,98","1,15","1,31","1,48","1,64","1,83","2,03","2,44","2,66","2,91","3,22","3,52","3,83","4,13","4,43","4,72","5,07"
900,"0,73","1,07","1,25","1,44","1,62","1,80","2,01","2,23","2,68","2,93","3,20","3,55","3,88","4,22","4,55","4,88","5,2","5,59"
1000,"0,78","1,15","1,35","1,55","1,75","1,95","2,19","2,42","2,92","3,19","3,49","3,86","4,23","4,60","4,96","5,31","5,67","6,08"
1200,"0,87","1,30","1,54","1,78","2,01","2,24","2,52","2,79","3,37","3,68","4,03","4,47","4,90","5,32","5,73","6,14","6,55","7,03"
1400,"0,95","1,44","1,71","1,98","2,25","2,51","2,82","3,14","3,80","4,15","4,55","5,04","5,52","5,99","6,46","6,91","7,36","7,89"
1600,"1,01","1,57","1,87","2,17","2,47","2,76","3,11","3,46","4,20","4,59","5,03","5,57","6,10","6,62","7,13","7,63","8,11","8,68"
1800,"1,07","1,68","2,02","2,35","2,68","3,00","3,39","3,77","4,57","5,00","5,48","6,07","6,64","7,20","7,74","8,28","8,79","9,39"
2000,"1,12","1,79","2,15","2,51","2,87","3,22","3,64","4,05","4,92","5,38","5,90","6,52","7,13","7,73","8,30","8,86","9,4","10,01"
2400,"1,19","1,96","2,38","2,80","3,21","3,61","4,09","4,56","5,55","6,06","6,63","7,32","7,99","8,63","9,24","9,82","10,36","10,98"
2800,"1,22","2,10","2,57","3,03","3,49","3,94","4,47","4,99","6,06","6,62","7,23","7,96","8,65","9,30","9,90","10,46","10,98","11,53"
3200,"1,23","2,19","2,71","3,22","3,71","4,20","4,77","5,32","6,46","7,04","7,67","8,41","9,09","9,71","10,27","10,77","11,2",
3500,"1,21","2,23","2,78","3,32","3,84","4,35","4,94","5,52","6,68","7,27","7,89","8,62","9,27","9,84","10,34","10,75",,
4000,"1,13","2,24","2,84","3,41","3,97","4,51","5,12","5,71","6,88","7,45","8,04","8,70","9,24",,,,,
4600,"0,98","2,17","2,80","3,40","3,98","4,53","5,15","5,73","6,83","7,34","7,83",,,,,,,
5000,"0,82","2,06","2,70","3,32","3,89","4,44","5,05","5,60","6,61","7,03",,,,,,,,
