"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,,,,,
RPM / Ø,112,118,132,140,150,160,170,180,190,200,212,224,236,250,265,280
100,"0,40","0,44","0,55","0,61","0,69","0,76","0,84","0,91","0,99","1,06","1,15","1,24","1,32","1,42","1,53","1,64"
200,"0,70","0,78","0,99","1,10","1,24","1,38","1,52","1,66","1,80","1,94","2,11","2,27","2,43","2,62","2,82","3,02"
300,"0,96","1,08","1,37","1,54","1,74","1,95","2,15","2,35","2,55","2,75","2,99","3,22","3,46","3,73","4,02","4,31"
400,"1,19","1,35","1,73","1,95","2,21","2,48","2,74","3,00","3,26","3,51","3,82","4,12","4,43","4,78","5,15","5,52"
500,"1,41","1,61","2,07","2,33","2,65","2,97","3,29","3,61","3,93","4,24","4,61","4,98","5,35","5,77","6,22","6,67"
600,"1,61","1,84","2,38","2,69","3,07","3,45","3,82","4,20","4,56","4,93","5,37","5,80","6,23","6,72","7,25","7,77"
700,"1,79","2,06","2,68","3,03","3,47","3,90","4,33","4,75","5,18","5,59","6,09","6,58","7,07","7,63","8,23","8,82"
800,"1,97","2,27","2,97","3,36","3,85","4,34","4,82","5,29","5,76","6,23","6,78","7,33","7,88","8,50","9,16","9,82"
900,"2,13","2,47","3,24","3,68","4,22","4,75","5,28","5,81","6,33","6,84","7,45","8,05","8,65","9,33","10,05","10,76"
1000,"2,28","2,65","3,50","3,98","4,57","5,15","5,73","6,30","6,86","7,42","8,08","8,74","9,38","10,12","10,89","11,66"
1200,"2,56","2,99","3,98","4,53","5,22","5,90","6,57","7,22","7,87","8,51","9,27","10,01","10,74","11,57","12,44","13,29"
1400,"2,81","3,29","4,41","5,04","5,82","6,58","7,33","8,06","8,79","9,50","10,33","11,15","11,95","12,85","13,78","14,69"
1600,"3,02","3,56","4,80","5,50","6,36","7,19","8,02","8,82","9,61","10,38","11,28","12,15","12,99","13,94","14,92","15,84"
1800,"3,20","3,79","5,15","5,91","6,84","7,74","8,63","9,49","10,33","11,14","12,09","13,00","13,87","14,84","15,81","16,73"
2000,"3,34","3,99","5,45","6,26","7,26","8,22","9,16","10,06","10,94","11,78","12,76","13,68","14,56","15,52","16,46","17,32"
2400,"3,54","4,27","5,91","6,81","7,90","8,95","9,96","10,91","11,82","12,68","13,64","14,53","15,33","16,17","16,92",
2800,"3,60","4,39","6,17","7,14","8,28","9,37","10,38","11,33","12,21","13,00","13,86","14,59","15,20",,,
3200,"3,52","4,36","6,22","7,21","8,37","9,43","10,40","11,27","12,03","12,68",,,,,,
3500,"3,36","4,23","6,11","7,09","8,22","9,23","10,12","10,87","11,50",,,,,,,
4000,"2,90","3,77","5,61","6,53","7,54","8,37",,,,,,,,,,
4600,"1,98","2,81","4,46","5,21",,,,,,,,,,,,
