"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,,,,,,
RPM / Ø,180,190,200,212,224,236,250,265,280,300,315,335,355,375,400,425,450
100,"1,14","1,26","1,38","1,52","1,66","1,80","1,96","2,14","2,31","2,54","2,71","2,93","3,16","3,38","3,66","3,93","4,21"
200,"2,04","2,26","2,48","2,75","3,01","3,27","3,58","3,90","4,22","4,65","4,97","5,39","5,81","6,23","6,75","7,26","7,77"
300,"2,83","3,15","3,48","3,86","4,24","4,62","5,05","5,52","5,98","6,60","7,05","7,66","8,26","8,86","9,60","10,33","11,06"
400,"3,56","3,98","4,40","4,89","5,38","5,87","6,43","7,03","7,63","8,42","9,01","9,78","10,55","11,32","12,26","13,20","14,12"
500,"4,25","4,75","5,26","5,86","6,46","7,05","7,73","8,46","9,19","10,14","10,85","11,79","12,71","13,63","14,76","15,88","16,97"
600,"4,88","5,48","6,07","6,77","7,47","8,16","8,97","9,82","10,66","11,77","12,59","13,67","14,74","15,80","17,10","18,37","19,62"
700,"5,48","6,16","6,83","7,64","8,43","9,22","10,13","11,10","12,05","13,30","14,23","15,45","16,64","17,82","19,27","20,68","22,05"
800,"6,04","6,80","7,56","8,45","9,34","10,22","11,23","12,30","13,36","14,74","15,77","17,10","18,41","19,70","21,26","22,78","24,25"
900,"6,57","7,41","8,24","9,23","10,20","11,16","12,27","13,44","14,59","16,09","17,20","18,64","20,05","21,42","23,08","24,68","26,21"
1000,"7,06","7,98","8,88","9,95","11,01","12,05","13,24","14,50","15,74","17,35","18,52","20,05","21,54","22,97","24,70","26,34","27,91"
1200,"7,95","9,00","10,04","11,26","12,47","13,65","14,99","16,40","17,78","19,55","20,83","22,48","24,06","25,55","27,31","28,94","30,44"
1400,"8,71","9,88","11,03","12,39","13,71","15,00","16,47","17,99","19,45","21,32","22,65","24,33","25,90","27,35","29,00","30,45","31,68"
1600,"9,33","10,61","11,85","13,31","14,73","16,10","17,64","19,22","20,73","22,61","23,92","25,54","27,00","28,28","29,65",,
1800,"9,81","11,17","12,49","14,03","15,51","16,92","18,50","20,09","21,57","23,38","24,60","26,04","27,26",,,,
2000,"10,14","11,57","12,94","14,52","16,02","17,45","19,01","20,55","21,94","23,58","24,63",,,,,,
2400,"10,33","11,80","13,20","14,77","16,21","17,52","18,88","20,12",,,,,,,,,
2800,"9,81","11,24","12,54","13,93","15,13","16,13",,,,,,,,,,,
