"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,
RPM / Ø,300,315,355,400,450,500,560,630,710,800,900
50,"1,76","1,90","2,26","2,66","3,10","3,53","4,05","4,65","5,32","6,07","6,90"
100,"3,22","3,47","4,15","4,90","5,72","6,54","7,51","8,63","9,89","11,30","12,83"
150,"4,55","4,92","5,89","6,98","8,17","9,34","10,74","12,34","14,15","16,15","18,34"
200,"5,80","6,28","7,54","8,94","10,48","12,00","13,80","15,86","18,17","20,73","23,51"
300,"8,13","8,82","10,62","12,63","14,81","16,96","19,50","22,39","25,61","29,12","32,88"
400,"10,27","11,15","13,47","16,03","18,81","21,52","24,70","28,29","32,23","36,46","40,89"
500,"12,26","13,32","16,11","19,17","22,48","25,68","29,40","33,54","38,00","42,66","47,35"
600,"14,10","15,33","18,55","22,06","25,82","29,44","33,56","38,08","42,81","47,56","52,04"
750,"16,60","18,05","21,83","25,91","30,20","34,24","38,72","43,41","48,00","52,09",
900,"18,77","20,41","24,65","29,13","33,74","37,95","42,40","46,71","50,37",,
1000,"20,03","21,78","26,24","30,90","35,59","39,74","43,93","47,64",,,
1200,"22,07","23,97","28,70","33,45","37,93","41,51",,,,,
1400,"23,43","25,38","30,10","34,52","38,23",,,,,,
1500,"23,83","25,77","30,36","34,45",,,,,,,
1700,"24,04","25,86","30,56",,,,,,,,
1800,"24,44","25,98","30,69",,,,,,,,
1900,"24,89","26,12",,,,,,,,,
2000,"25,15","26,33",,,,,,,,,
