"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,
RPM / Ø,224,236,250,280,315,335,400,450,500,560
50,"0,71","0,8","0,88","1,06","1,28","1,52","1,8","2,09","2,39","2,74"
100,"1,29","1,43","1,59","1,94","2,35","2,81","3,32","3,88","4,44","5,09"
200,"2,25","2,53","7,94","3,5","4,25","5,12","6,07","7,12","8,15","9,37"
400,"3,88","4,38","4,96","6,17","7,58","9,15","10,89","12,78","14,62","16,77"
600,"5,21","5,92","6,73","8,46","10,41","12,6","14,98","17,52","19,96","22,74"
800,"6,22","7,2","0,34","10,38","12,81","15,48","18,33","21,3","24,04","27,02"
900,"6,78","7,75","8,87","11,22","13,84","16,69","19,7","22,77","25,54","28,43"
1000,"7,19","8,24","9,45","11,95","14,75","17,74","20,84","23,94","26,63","29,29"
1200,"7,84","9,13","10,37","12,13","16,17","19,31","22,41","25,29","27,5","29,18"
1400,"8,25","9,54","10,99","13,92","17,02","20,09","22,91","25,13",,
1500,"8,36","9,68","11,17","14,15","17,22","20,18","22,71","24,44",,
1600,"8,4","9,75","11,26","14,24","17,25","20,01",,,,
1700,"8,37","9,74","11,26","14,22","17,11","19,61",,,,
1800,"8,27","9,65","11,16","14,06","16,78",,,,,
2000,"7,85","9,21","10,67","13,32","15,56",,,,,
2200,"7,11","8,39","9,73",12,,,,,,
2400,"6,02","7,18","8,33",,,,,,,
2500,"5,33","6,42","7,45",,,,,,,
