"P (kW) referred to i
d",,,,,,,,,,
RPM / I,"1,00/1,01","1,02/1,05","1,06/1,11","1,12/1,18","1,19/1,26","1,27/1,38","1,39/1,57","1,58/1,94","1,95/3,38","OVER 3,39"
100,"0,00","0,00","0,01","0,01","0,02","0,02","0,02","0,03","0,03","0,03"
200,"0,00","0,01","0,01","0,02","0,03","0,04","0,05","0,05","0,06","0,06"
500,"0,00","0,01","0,04","0,06","0,08","0,10","0,12","0,13","0,15","0,15"
700,"0,00","0,02","0,05","0,09","0,12","0,14","0,17","0,19","0,20","0,22"
900,"0,00","0,02","0,06","0,11","0,15","0,18","0,21","0,24","0,26","0,28"
1.000,"0,00","0,03","0,07","0,12","0,17","0,20","0,24","0,27","0,29","0,31"
1.400,"0,00","0,04","0,10","0,17","0,23","0,28","0,33","0,37","0,41","0,43"
1.500,"0,00","0,04","0,11","0,18","0,25","0,30","0,36","0,40","0,44","0,46"
1.700,"0,00","0,04","0,12","0,21","0,28","0,34","0,40","0,45","0,49","0,52"
1.800,"0,00","0,05","0,13","0,22","0,30","0,36","0,43","0,48","0,52","0,55"
2.500,"0,00","0,06","0,18","0,31","0,42","0,51","0,59","0,67","0,73","0,77"
2.900,"0,00","0,08","0,20","0,36","0,48","0,59","0,69","0,77","0,84","0,89"
3.000,"0,00","0,08","0,21","0,37","0,50","0,61","0,71","0,80","0,87","0,92"
3.500,"0,00","0,09","0,25","0,43","0,59","0,71","0,83","0,93","1,02","1,08"
3.600,"0,00","0,09","0,25","0,44","0,60","0,73","0,85","0,96","1,05","1,11"
4.000,"0,00","0,10","0,28","0,49","0,67","0,81","0,95","1,07","1,16","1,23"
4.600,"0,00","0,12","0,32","0,57","0,77","0,93","1,09","1,23","1,34","1,42"
5.000,"0,00","0,13","0,35","0,61","0,84","1,01","1,19","1,34","1,45","1,54"
