"P (kW) referred to i
d",,,,,
RPM / I,"1,00/1,01","1,02/1,05","1,06/1,26","1,27/1,57","OVER 1,57"
100,"0,00","0,00","0,02","0,03","0,03"
200,"0,00","0,01","0,04","0,05","0,06"
500,"0,00","0,01","0,09","0,13","0,16"
700,"0,00","0,02","0,13","0,18","0,22"
900,"0,00","0,03","0,16","0,23","0,28"
1.000,"0,00","0,03","0,18","0,26","0,31"
1.400,"0,00","0,04","0,25","0,36","0,44"
1.500,"0,00","0,04","0,27","0,39","0,47"
1.700,"0,00","0,05","0,30","0,44","0,53"
1.800,"0,00","0,05","0,32","0,46","0,56"
2.500,"0,00","0,07","0,45","0,64","0,78"
2.900,"0,00","0,08","0,52","0,75","0,90"
3.000,"0,00","0,08","0,54","0,77","0,93"
3.500,"0,00","0,10","0,63","0,90","1,09"
3.600,"0,00","0,10","0,64","0,93","1,12"
4.000,"0,00","0,11","0,72","1,03","1,24"
4.500,"0,00","0,13","0,81","1,16","1,40"
5.000,"0,00","0,14","0,90","1,29","1,56"
