"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,180,200,224,250,280,315,335,400,500,560,630,710
100,"1,47","1,76","2,10","2,47","2,90","3,40","3,68","4,60","6,01","6,86","7,83","8,95"
200,"2,86","3,43","4,10","4,84","5,68","6,66","7,22","9,02","11,79","13,43","15,35","17,52"
300,"4,22","5,06","6,07","7,15","8,40","9,85","10,68","13,35","17,43","19,85","22,66","25,83"
400,"5,56","6,67","8,00","9,43","11,08","12,99","14,08","17,60","22,94","26,10","29,74","33,84"
500,"6,88","8,25","9,90","11,68","13,72","16,08","17,43","21,76","28,31","32,16","36,57","41,50"
600,"8,18","9,82","11,78","13,90","16,32","19,12","20,72","25,83","33,51","38,00","43,10","48,75"
700,"9,46","11,36","13,64","16,08","18,88","22,11","23,94","29,80","38,54","43,59","49,29","55,51"
900,"11,98","14,39","17,26","20,34","23,85","27,89","30,17","37,40","47,96","53,91","60,45","67,32"
1.000,"13,22","15,87","19,03","22,42","26,27","30,68","33,17","41,01","52,30","58,57","65,32",
1.400,"17,97","21,56","25,80","30,30","35,35","41,05","44,20","53,86",,,,
1.500,"19,11","22,92","27,40","32,15","37,46","43,41","46,69","56,62",,,,
1.700,"21,32","25,54","30,49","35,68","41,44","47,82","51,28",,,,,
1.800,"22,39","26,81","31,97","37,36","43,32","49,85","53,37",,,,,
2.000,"24,45","29,23","34,78","40,53","46,80","53,55",,,,,,
2.500,"29,12","34,65","40,91","47,20",,,,,,,,
2.900,"32,28","38,19","44,73",,,,,,,,,
3.000,"32,98","38,96",,,,,,,,,,
3.500,"35,89",,,,,,,,,,,
