"TO
CONVERT
FROM",TO,"MULTIPLY
BY"
J,HP • h,"3,72506·10-7"
J,kWh,"2,77778·10-7"
kg,lb,"2,204623"
kgf,N,"9,80665"
kgf,lbf,"2,204623"
kgf • m/s,CV,"0,01333333"
kgf • m/s,W,"9,80665"
kgf • m/s,kW,"0,00980665"
kW,CV,"1,359622"
kW,kcal/h,"859,8452"
kW,W,1000
kW,kgf • m/s,"101,9716"
kW,lbf • ft/s,"737,5621"
lb,kg,"0,4535924"
lb,kgf,"0,4535924"
lb,N,"4,448222"
N,kgf,"0,1019716"
N,lbf,"0,2248089"
W,CV,"0,001359622"
W,HP,"0,001341022"
W,kcal/h,"0,8598452"
W,kW,"0,001"
W,kgf • m/s,"0,1019716"
W,lbf • ft/s,"0,7375621"
